"Search Terms Report Jun 20 2012 - Jun 7 2013 (Jun 20, 2012-Jun 7, 2013)"
Match type	Search term	Added/Excluded	Campaign	Ad group	Clicks	Impressions	CTR	Avg. CPC	Cost	Avg. position	Conv. (1-per-click)
broad	what do ning sites look like	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	4.59	4.59	1.0	0
broad	list of ning sites	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	5	20.00%	2.72	2.72	2.2	0
broad	sites like ning free	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.77	1.77	1.0	0
broad	ning like free sites	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	1.04	1.04	1.0	0
broad	site like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.80	1.80	1.0	0
broad	social networking sites powered by ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	1.62	1.62	2.0	0
broad	spiritual mini ning site to see how it looks	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.33	1.33	2.0	0
broad	best ning sites	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	4	25.00%	2.53	2.53	1.0	0
broad	sites like ning but free	Added	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	2	5	40.00%	0.96	1.92	1.0	1
broad	sites like ning	Added	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	21	143	14.69%	0.91	19.09	1.0	0
broad	ning like sites with unlimited membership	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	2	1	200.00%	0.80	1.60	1.0	0
broad	top ning sites	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.82	2.82	1.0	0
broad	is there anymore ning art sites like dolldreams	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.81	1.81	2.0	0
broad	kickapps competition	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	3.08	3.08	1.0	0
broad	another site like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.92	1.92	1.0	0
broad	new social networking sites	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	6	16.67%	2.05	2.05	1.7	0
broad	gay ning sites	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.69	2.69	4.0	0
broad	free social site builder similar to ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	4.45	4.45	1.0	0
broad	sites similar to ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	3	8	37.50%	1.17	3.50	1.0	0
broad	free social networking sites like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.25	2.25	1.0	0
broad	ning custom sites	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	1.49	1.49	1.0	0
broad	ning roleplay sites	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	9	11.11%	2.33	2.33	1.0	0
broad	free sites like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	2	3	66.67%	0.99	1.98	1.0	0
broad	rivals to ning websites	Added	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	0.91	0.91	1.0	0
broad	free website with a community platform like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.22	1.22	1.0	0
broad	top sites like ning 2012	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	3.11	3.11	1.0	0
broad	sites like patriotpage ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	5	20.00%	1.67	1.67	1.0	0
broad	websites similar to ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.34	1.34	1.0	0
broad	social networking sites like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	1.69	1.69	1.0	0
broad	paid social community sites like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	0.78	0.78	1.0	0
broad (session-based)	kick apps	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	4.32	4.32	1.0	0
broad (session-based)	kickapps com	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	3.97	3.97	1.0	0
broad (session-based)	free group sites	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.96	2.96	1.0	0
broad (session-based)	kickapps	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	2	4	50.00%	4.01	8.02	1.0	0
broad (session-based)	create a free website like facebook	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.81	1.81	1.0	0
broad (session-based)	build a social website	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	5.21	5.21	2.0	0
broad (session-based)	buddypress competitors	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.29	2.29	1.0	0
phrase	mein video ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.27	1.27	2.0	0
phrase	ning shaenglish11	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.70	1.70	1.0	0
phrase	http api ning files w9vvaew7a ssss	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.99	1.99	1.0	0
phrase	online investors ning ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	2	16	12.50%	2.93	5.86	5.5	0
phrase	ning social network site	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.41	1.41	3.0	0
phrase	custom ning templates	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.10	2.10	3.0	0
phrase	business contractors ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	5	8	62.50%	2.32	11.59	2.0	0
phrase	www ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	18	5.56%	1.11	1.11	1.7	0
phrase	miembros ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	5	6	83.33%	2.19	10.97	2.0	0
phrase	anggota ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.00	2.00	2.0	0
phrase	cell ning network	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	7.62	7.62	2.0	0
phrase	www jamlear ning co uk	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	4	25.00%	1.69	1.69	1.0	0
phrase	thisizgame ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	1.00	1.00	1.0	0
phrase	marriage ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	3	5	60.00%	2.26	6.78	2.0	0
phrase	earthisnowsecure ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	0.93	0.93	1.0	0
phrase	ning 2012	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.13	2.13	1.0	0
phrase	divine connections ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	5.00	5.00	1.0	0
phrase	http iantiqueonline ning com profile	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	4	25.00%	0.99	0.99	1.0	0
phrase	alternatives to ning 2012	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.57	1.57	1.0	0
phrase	tenage ning turtos	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	0.39	0.39	2.0	0
phrase	ning contact number	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	2	8	25.00%	2.48	4.95	1.0	0
phrase	ning networks list	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	3	33.33%	2.47	2.47	2.0	0
phrase	foreign business ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	3	33.33%	0.81	0.81	2.0	0
phrase	indigenous business ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	2	2	100.00%	1.33	2.66	1.0	0
phrase	www iamlea ning co uk	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	4	25.00%	1.53	1.53	1.0	0
phrase	gamato ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	2	50.00%	0.79	0.79	1.0	0
phrase	ning mosberger	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	13	7.69%	3.00	3.00	1.0	0
phrase	are there any websites like ning	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	1.64	1.64	1.0	0
phrase	rick's place ning	Excluded	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	1	1	100.00%	2.57	2.57	1.0	0
phrase	ning glam social	None	1 - SEM - Direct Response - Home Page	9 - Ad Group - Ning	3	26	11.54%	2.28	6.85	1.0	0
